Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,CreateCustomerFlag,LandlordFirstName,LandlordLastName,LandlordPhoneNumber,FirstName,LastName,DateOfBirth,Email,IDType,NationalIDNumber,StateProvince,LanguagePreference,EnrollinAutopay,EnrollinEpay,AutopayAllowed,EpayAllowed,ACHAllowed,ChecksAllowed,Active,DoNotCall,DoNotVisit,POSType,OwnershipType,CustomerVerified,LineOfBusinessType,CustomerAccountID,IDNumber,CustomerID,HttpStatus
37,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_IN,,,,,,,,,,,IN,,,,,,,,,,,,,,,,,,200
38,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_IA,,,,,,,,,,,IA,,,,,,,,,,,,,,,,,,200
39,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_KS,,,,,,,,,,,KS,,,,,,,,,,,,,,,,,,200
40,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_KY,,,,,,,,,,,KY,,,,,,,,,,,,,,,,,,200
41,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_LA,,,,,,,,,,,LA,,,,,,,,,,,,,,,,,,200
42,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_TN,,,,,,,,,,,TN,,,,,,,,,,,,,,,,,,200
43,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_NC,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,200
44,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_NY,,,,,,,,,,,NY,,,,,,,,,,,,,,,,,,200
45,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_WA,,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,200
46,TRUE,CustomerInfo_StateProvince,CCS_CustomerInfo_StateProvince_WV,,,,,,,,,,,WV,,,,,,,,,,,,,,,,,,200
47,TRUE,CustomerInfo_LanguagePreference,CCS_CustomerInfo_LanguagePreference_1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,200
48,TRUE,CustomerInfo_LanguagePreference,CCS_CustomerInfo_LanguagePreference_2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,200
49,TRUE,CustomerInfo_EnrollinAutopay,CCS_CustomerInfo_EnrollinAutopay_0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,200
50,TRUE,CustomerInfo_EnrollinAutopay,CCS_CustomerInfo_EnrollinAutopay_1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,200
51,TRUE,CustomerInfo_EnrollinAutopay,CCS_CustomerInfo_EnrollinAutopay_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
52,TRUE,CustomerInfo_EnrollinEpay,CCS_CustomerInfo_EnrollinEpay_0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,200
53,TRUE,CustomerInfo_EnrollinEpay,CCS_CustomerInfo_EnrollinEpay_1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,200
54,TRUE,CustomerInfo_EnrollinEpay,CCS_CustomerInfo_EnrollinEpay_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
55,TRUE,CustomerInfo_AutopayAllowed,CCS_CustomerInfo_AutopayAllowed_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
56,TRUE,CustomerInfo_AutopayAllowed,CCS_CustomerInfo_AutopayAllowed_0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,200
57,TRUE,CustomerInfo_AutopayAllowed,CCS_CustomerInfo_AutopayAllowed_1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,200
58,TRUE,CustomerInfo_EpayAllowed,CCS_CustomerInfo_EpayAllowed_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
59,TRUE,CustomerInfo_EpayAllowed,CCS_CustomerInfo_EpayAllowed_0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,200
60,TRUE,CustomerInfo_EpayAllowed,CCS_CustomerInfo_EpayAllowed_1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,200
61,TRUE,CustomerInfo_ACHAllowed,CCS_CustomerInfo_ACHAllowed_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
62,TRUE,CustomerInfo_ACHAllowed,CCS_CustomerInfo_ACHAllowed_0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,200
63,TRUE,CustomerInfo_ACHAllowed,CCS_CustomerInfo_ACHAllowed_1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,200
64,TRUE,CustomerInfo_ChecksAllowed,CCS_CustomerInfo_ChecksAllowed_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
65,TRUE,CustomerInfo_ChecksAllowed,CCS_CustomerInfo_ChecksAllowed_0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,200
66,TRUE,CustomerInfo_ChecksAllowed,CCS_CustomerInfo_ChecksAllowed_1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,200
67,TRUE,CustomerInfo_Active,CCS_CustomerInfo_Active_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
68,TRUE,CustomerInfo_Active,CCS_CustomerInfo_Active_0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,200
69,TRUE,CustomerInfo_Active,CCS_CustomerInfo_Active_1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,200
70,TRUE,CustomerInfo_DoNotCall,CCS_CustomerInfo_DoNotCall_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
71,TRUE,CustomerInfo_DoNotCall,CCS_CustomerInfo_DoNotCall_0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,200
72,TRUE,CustomerInfo_DoNotCall,CCS_CustomerInfo_DoNotCall_1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,200
73,TRUE,CustomerInfo_DoNotVisit,CCS_CustomerInfo_DoNotVisit_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
74,TRUE,CustomerInfo_DoNotVisit,CCS_CustomerInfo_DoNotVisit_0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,200
75,TRUE,CustomerInfo_DoNotVisit,CCS_CustomerInfo_DoNotVisit_1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,200
76,TRUE,CustomerInfo_POSType,CCS_CustomerInfo_POSType_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
77,TRUE,CustomerInfo_POSType,CCS_CustomerInfo_POSType_1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,200
78,TRUE,CustomerInfo_POSType,CCS_CustomerInfo_POSType_2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,200
79,TRUE,CustomerInfo_OwnershipType,CCS_CustomerInfo_OwnershipType_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
80,TRUE,CustomerInfo_OwnershipType,CCS_CustomerInfo_OwnershipType_1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,200
81,TRUE,CustomerInfo_OwnershipType,CCS_CustomerInfo_OwnershipType_2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,200
82,TRUE,CustomerInfo_CustomerVerified,CCS_CustomerInfo_CustomerVerified_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
83,TRUE,CustomerInfo_CustomerVerified,CCS_CustomerInfo_CustomerVerified_0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,200
84,TRUE,CustomerInfo_CustomerVerified,CCS_CustomerInfo_CustomerVerified_1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,200
85,TRUE,CustomerInfo_LineOfBusinessType,CCS_CustomerInfo_LineOfBusinessType_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
86,TRUE,CustomerInfo_LineOfBusinessType,CCS_CustomerInfo_LineOfBusinessType_0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,200
87,TRUE,CustomerInfo_LineOfBusinessType,CCS_CustomerInfo_LineOfBusinessType_1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,200
88,TRUE,CustomerInfo_LineOfBusinessType,CCS_CustomerInfo_LineOfBusinessType_2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,200
89,TRUE,CustomerInfo_CustomerID,CCS_CustomerInfo_CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,200
90,TRUE,CustomerInfo_CustomerID,CCS_CustomerInfo_CustomerID_Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345678,200
91,TRUE,CustomerInfo_IDNumber,CCS_CustomerInfo_IDNumber_MaxLimit,,,,,,,,,1,,GA,,,,,,,,,,,,,,,,1.23E+24,,200
92,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
93,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,564646464,,,200
94,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_Character,,,,,,,,,,,,,,,,,,,,,,,,,,hgfhgfhgAFF,,,200
95,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_NegativeNumber,,,,,,,,,,,,,,,,,,,,,,,,,,-11,,,200
96,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_SpecialCharacters,,,,,,,,,,,,,,,,,,,,,,,,,,%%^%^&,,,200
97,TRUE,CustomerInfo_CustomerAccountID,CCS_CustomerInfo_CustomerAccountID_MaxLimit,,,,,,,,,,,,,,,,,,,,,,,,,,1.23E+59,,,200
98,TRUE,CustomerInfo_NULL_LandlordFields,CCS_CustomerInfo_NULL_LandlordFields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
99,TRUE,CustomerInfo_NULL_Email,CCS_CustomerInfo_NULL_Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
100,TRUE,CustomerInfo_NULL_CustomerID,CCS_CustomerInfo_NULL_CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
101,TRUE,CustomerInfo_NULL_IDNumber,CCS_CustomerInfo_NULL_IDNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
102,TRUE,CustomerInfo_NULL_StateProvince,CCS_CustomerInfo_NULL_StateProvince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
103,TRUE,CustomerInfo_NULL_LanguagePreference,CCS_CustomerInfo_NULL_LanguagePreference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
104,TRUE,CustomerInfo_NULL_IDType,CCS_CustomerInfo_NULL_IDType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
