Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,Active,FirstName,LastName,MiddleInitial,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,DoNotCall,BestTimeToCall,Relationship,Address1,Address2,ApartmentNumber,POBox,City,StateProvince,PostalCode,HttpStatus
41,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_SpecialCharHyphen,,,,,,,,,,,,abcd-ed-gh,,,,,,,200
42,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_Characters_20,,,,,,,,,,,,TENCHARACTTENCHARACT,,,,,,,200
43,TRUE,ReferencesInfo_Address1,CCS_ReferencesInfo_Address1_MaxLimit_30,,,,,,,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,,200
44,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2,,,,,,,,,,,,,1445 Allens Bridge,,,,,,200
45,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_Numeric,,,,,,,,,,,,,1234567890,,,,,,200
46,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_Alphabetic,,,,,,,,,,,,,ABCDEFGH,,,,,,200
47,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_AlphaNumeric,,,,,,,,,,,,,ABC12345,,,,,,200
48,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_SpecialCharacter,,,,,,,,,,,,,#$%*()#$,,,,,,200
49,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_SpecialChar,,,,,,,,,,,,,123-Road1#$%,,,,,,200
50,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_SpecialCharHyphen,,,,,,,,,,,,,abcd-ed-gh,,,,,,200
51,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_Characters_20,,,,,,,,,,,,,TENCHARACTTENCHARACT,,,,,,200
52,TRUE,ReferencesInfo_Address2,CCS_ReferencesInfo_Address2_MaxLimit_30,,,,,,,,,,,,,TENCHARACTTENCHARACTTENCHARACT,,,,,,200
53,TRUE,ReferencesInfo_ApartmentNumber,CCS_ReferencesInfo_ApartmentNumber_Numeric,,,,,,,,,,,,,,123456,,,,,200
54,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox,,,,,,,,,,,,,,,1445A,,,,200
55,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_Numeric,,,,,,,,,,,,,,,123456,,,,200
56,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_Alphabetic,,,,,,,,,,,,,,,ABCDEF,,,,200
57,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_AlphaNumeric,,,,,,,,,,,,,,,ABC123,,,,200
58,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_SpecialCharacter,,,,,,,,,,,,,,,#$%*(),,,,200
59,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_SpecialChar,,,,,,,,,,,,,,,1-Rd#$,,,,200
60,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_SpecialCharHyphen,,,,,,,,,,,,,,,ab-e-g,,,,200
61,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_Characters_20,,,,,,,,,,,,,,,TENCH,,,,200
62,TRUE,ReferencesInfo_POBox,CCS_ReferencesInfo_POBox_MaxLimit_30,,,,,,,,,,,,,,,TENCHA,,,,200
63,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City,,,,,,,,,,,,,,,,1445 Allens Bridge,,,200
64,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_Numeric,,,,,,,,,,,,,,,,1234567890,,,200
65,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_Alphabetic,,,,,,,,,,,,,,,,ABCDEFGH,,,200
66,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_AlphaNumeric,,,,,,,,,,,,,,,,ABC12345,,,200
67,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_SpecialCharacter,,,,,,,,,,,,,,,,#$%*()#$,,,200
68,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_SpecialChar,,,,,,,,,,,,,,,,123-Road1#$%,,,200
69,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_SpecialCharHyphen,,,,,,,,,,,,,,,,abcd-ed-gh,,,200
70,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_Characters_19,,,,,,,,,,,,,,,,TENCHARACTTENCHARAC,,,200
71,TRUE,ReferencesInfo_City,CCS_ReferencesInfo_City_MaxLimit_20,,,,,,,,,,,,,,,,TENCHARACTTENCHARACT,,,200
72,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_TX,,,,,,,,,,,,,,,,,TX,,200
73,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_AZ,,,,,,,,,,,,,,,,,AZ,,200
74,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_AL,,,,,,,,,,,,,,,,,AL,,200
75,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_AK,,,,,,,,,,,,,,,,,AK,,200
76,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_AR,,,,,,,,,,,,,,,,,AR,,200
77,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_CA,,,,,,,,,,,,,,,,,CA,,200
78,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_CO,,,,,,,,,,,,,,,,,CO,,200
79,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_CT,,,,,,,,,,,,,,,,,CT,,200
80,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_DE,,,,,,,,,,,,,,,,,DE,,200
81,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_FL,,,,,,,,,,,,,,,,,FL,,200
82,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_GA,,,,,,,,,,,,,,,,,GA,,200
83,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_HI,,,,,,,,,,,,,,,,,HI,,200
84,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_ID,,,,,,,,,,,,,,,,,ID,,200
85,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_IL,,,,,,,,,,,,,,,,,IL,,200
86,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_IN,,,,,,,,,,,,,,,,,IN,,200
87,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_IA,,,,,,,,,,,,,,,,,IA,,200
88,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_KS,,,,,,,,,,,,,,,,,KS,,200
89,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_KY,,,,,,,,,,,,,,,,,KY,,200
90,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_LA,,,,,,,,,,,,,,,,,LA,,200
91,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_TN,,,,,,,,,,,,,,,,,TN,,200
92,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_NC,,,,,,,,,,,,,,,,,NC,,200
93,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_NY,,,,,,,,,,,,,,,,,NY,,200
94,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_WA,,,,,,,,,,,,,,,,,WA,,200
95,TRUE,ReferencesInfo_StateProvince,CCS_ReferencesInfo_StateProvince_WV,,,,,,,,,,,,,,,,,WV,,200
96,TRUE,ReferencesInfo_PostalCode,CCS_ReferencesInfo_PostalCode,,,,,,,,,,,,,,,,,,999999999,200
97,TRUE,ReferencesInfo_PostalCode,CCS_ReferencesInfo_PostalCode_Numeric,,,,,,,,,,,,,,,,,,912345678,200
98,TRUE,ReferencesInfo_PostalCode,CCS_ReferencesInfo_PostalCode_Characters_5,,,,,,,,,,,,,,,,,,98765,200
99,TRUE,ReferencesInfo_PostalCode,CCS_ReferencesInfo_PostalCode_MaxLimit_9,,,,,,,,,,,,,,,,,,987654321,200
100,TRUE,ReferencesInfo_Null_Active,CCS_ReferencesInfo_Null_Active,,,,,,,,,,,,,,,,,,,200
101,TRUE,ReferencesInfo_Null_FirstName,CCS_ReferencesInfo_Null_FirstName,,,,,,,,,,,,,,,,,,,200
102,TRUE,ReferencesInfo_Null_LastName,CCS_ReferencesInfo_Null_LastName,,,,,,,,,,,,,,,,,,,200
103,TRUE,ReferencesInfo_Null_MiddleInitial,CCS_ReferencesInfo_Null_MiddleInitial,,,,,,,,,,,,,,,,,,,200
104,TRUE,ReferencesInfo_Null_PhoneNumber,CCS_ReferencesInfo_Null_PhoneNumber,,,,,,,,,,,,,,,,,,,200
105,TRUE,ReferencesInfo_Null_PhoneExtension,CCS_ReferencesInfo_Null_PhoneExtension,,,,,,,,,,,,,,,,,,,200
106,TRUE,ReferencesInfo_Null_PrimaryPhone,CCS_ReferencesInfo_Null_PrimaryPhone,,,,,,,,,,,,,,,,,,,200
107,TRUE,ReferencesInfo_Null_DoNotCall,CCS_ReferencesInfo_Null_DoNotCall,,,,,,,,,,,,,,,,,,,200
108,TRUE,ReferencesInfo_Null_BestTimeToCall,CCS_ReferencesInfo_Null_BestTimeToCall,,,,,,,,,,,,,,,,,,,200
109,TRUE,ReferencesInfo_Null_Relationship,CCS_ReferencesInfo_Null_Relationship,,,,,,,,,,,,,,,,,,,200
110,TRUE,ReferencesInfo_Null_Address1,CCS_ReferencesInfo_Null_Address1,,,,,,,,,,,,,,,,,,,200
111,TRUE,ReferencesInfo_Null_Address2,CCS_ReferencesInfo_Null_Address2,,,,,,,,,,,,,,,,,,,200
112,TRUE,ReferencesInfo_Null_ApartmentNumber,CCS_ReferencesInfo_Null_ApartmentNumber,,,,,,,,,,,,,,,,,,,200
113,TRUE,ReferencesInfo_Null_POBox,CCS_ReferencesInfo_Null_POBox,,,,,,,,,,,,,,,,,,,200
114,TRUE,ReferencesInfo_Null_City,CCS_ReferencesInfo_Null_City,,,,,,,,,,,,,,,,,,,200
115,TRUE,ReferencesInfo_Null_StateProvince,CCS_ReferencesInfo_Null_StateProvince,,,,,,,,,,,,,,,,,,,200
116,TRUE,ReferencesInfo_Null_PostalCode,CCS_ReferencesInfo_Null_PostalCode,,,,,,,,,,,,,,,,,,,200
